DLmalloc,146,245,295,368,980
Talc,146,171,172,294,1250
FlatTlsf (FFI),171,221,441,538,1200
FreeList (FFI),269,661,882,1005,1837
RLSF,146,148,196,196,735
Galloc,98,146,148,148,1077
Buddy Alloc,146,147,172,196,270
