,200,1000,3000,10000,30000
DLmalloc,6274928,3682342,2975942,2159400,1496456
Talc,8501514,6488485,5422542,3827571,2082656
FlatTlsf (FFI),5531671,4532171,4013442,3099785,2029242
FreeList (FFI),2204814,1566142,1383271,1161714,932571
RLSF,7257842,5771114,4742571,3528071,2080357
Galloc,5977657,3488042,2832799,2288528,1397442
Buddy Alloc,7497042,5965828,5036199,3440328,1854071
